filename,source_category,decision,fracture_location,view_type,hardware_present,image_quality,primary_reason,confidence,status
Non_fractured/IMG0000000.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000001.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000002.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000003.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000004.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000005.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000006.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000007.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000008.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000009.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000010.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000011.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000012.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000013.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000014.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000015.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000016.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000017.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000018.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000020.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000021.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000022.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000023.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000024.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000026.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000027.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000028.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000029.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
Non_fractured/IMG0000030.jpg,Non_fractured,EXCLUDE,N/A,Unclear,No,N/A,Source-labeled non-fractured; no fracture present (fails inclusion criterion 3).,High,done
